seqname	type	rep1	rep2	rep3
FP029297_TENM1_2	promoter	5161626	6058741	7559807
FP003344_RPS27A_2	promoter	3802985	4278529	5125303
FP001593_TXNIP_1	promoter	3215863	3656909	4454708
FP001594_TXNIP_2	promoter	3055373	3471519	4201988
FP011322_ASNS_1	promoter	2339076	2767689	3351884
FP014975_KAZALD1_5	promoter	1619353	1892126	2305185
FP016114_NXF1_1	promoter	1485488	1661955	2005949
FP026161_BCL2L12_2	promoter	1218333	1384783	1661983
FP024822_SAFB_1	promoter	1181730	1315507	1541621
FP011679_HILPDA_1	promoter	913850	1070292	1269709
FP029542_RPL10_2	promoter	802777	902489	1082352
FP015643_LDHA_1	promoter	789236	889616	1034068
FP005387_IP6K1_1	promoter	608612	699497	847026
FP009577_BRD2_1	promoter	558501	666581	871838
FP011095_CRCP_2	promoter	525277	617583	765211
FP018125_MDM2_1	promoter	433195	506692	634251
FP002632_ATF3_1	promoter	423730	1238176	1439800
FP021895_HERPUD1_1	promoter	345438	403206	479765
FP009511_NELFE_1	promoter	296281	335680	410141
FP012669_RPL30_2	promoter	280641	318715	394406
FP010289_CENPW_2	promoter	271683	323282	402926
FP013102_SNAPC3_2	promoter	268824	309264	365878
FP018243_BTG1_1	promoter	252348	286431	349312
FP008931_NPM1_1	promoter	250361	294014	362797
FP027276_RAE1_2	promoter	243315	288528	364270
FP010796_TRA2A_1	promoter	202726	237273	287146
FP013461_CKS2_1	promoter	164170	192013	228436
FP023562_COL1A1_1	promoter	163189	195806	238798
FP024025_EIF4A3_1	promoter	156678	177699	217322
FP014557_CDK1_1	promoter	153398	175847	220663
FP003134_IFT172_1	promoter	137803	157307	193976
FP020658_CILP_2	promoter	134913	159785	205642
FP015142_CACUL1_1	promoter	130634	151718	183941
FP007601_CLCN3_1	promoter	129370	156176	184383
FP009680_SRSF3_1	promoter	121703	140602	170926
FP005950_MCM2_1	promoter	115662	134222	154918
FP028761_UBA1_1	promoter	112062	127923	155761
FP008312_KCNN2_2	promoter	111296	128280	164437
FP029320_AIFM1_1	promoter	108642	126650	154564
FP007009_COX18_1	promoter	103780	118612	143655
FP019830_ACYP1_1	promoter	103706	121695	144999
FP013676_DNAJC25_1	promoter	100231	118456	140184
FP017483_BHLHE41_4	promoter	99270	115412	139304
FP005334_IP6K2_1	promoter	98811	119013	142315
FP000737_CTPS1_1	promoter	98682	113646	135195
FP025623_ZNF571_2	promoter	98364	113733	138573
FP017065_PRDM10_3	promoter	95131	113827	143888
FP015814_TP53I11_3	promoter	92038	108362	137290
FP028871_SMC1A_1	promoter	91309	103185	126736
FP011126_BAZ1B_1	promoter	90402	105133	125892
FP013277_CLTA_1	promoter	87582	100539	118194
FP009639_ANKS1A_1	promoter	86915	102967	125873
FP002721_SRP9_1	promoter	84189	94588	112692
FP018822_USPL1_1	promoter	83815	98529	116336
FP011493_RASA4B_2	promoter	83545	94272	113296
FP004697_NCL_1	promoter	83396	226594	258330
FP022540_KIAA0753_1	promoter	80624	92317	112785
FP001794_CHTOP_2	promoter	79442	92736	114661
FP022541_MED31_1	promoter	78948	91768	112393
FP001251_LRRC8D_4	promoter	78406	94271	110958
FP000224_CLCN6_1	promoter	77418	92853	110393
FP019007_CKAP2_1	promoter	75908	89664	107514
FP018274_METAP2_1	promoter	75598	88423	106671
FP005351_IMPDH2_1	promoter	73937	82299	100880
FP027194_KCNB1_1	promoter	73744	82377	98773
FP015158_MCMBP_2	promoter	73150	83117	101803
FP010338_RPS12_1	promoter	72863	87087	109490
FP026578_RPS5_1	promoter	72026	83173	102618
FP004570_CTDSP1_2	promoter	71706	84637	104900
FP024821_SAFB2_1	promoter	70231	79342	95768
FP011971_UBE3C_1	promoter	69062	81314	94349
FP024922_RPS28_1	promoter	68053	80754	98012
FP019755_SMOC1_1	promoter	67449	80044	96864
FP028796_TBC1D25_1	promoter	66671	204257	426709
FP012624_RBM12B_1	promoter	65596	77428	95406
FP018051_METTL1_1	promoter	65244	75315	92719
FP020765_NPTN_2	promoter	64100	75844	88347
FP001146_FUBP1_1	promoter	62737	75739	95065
FP003389_MDH1_1	promoter	62503	76236	96075
FP023027_ZNF207_1	promoter	61067	73388	91552
FP014020_REXO4_1	promoter	60057	70313	85019
FP018587_PSMD9_1	promoter	59178	69650	81133
FP020884_ST20_1	promoter	58502	70432	83950
FP001793_CHTOP_1	promoter	58500	66876	82054
FP024067_MRPL12_3	promoter	58492	67478	82743
FP013834_RPL12_1	promoter	58285	66085	80030
FP005386_GMPPB_1	promoter	58210	67004	78699
FP027010_DSN1_1	promoter	58059	67902	80901
FP028990_GCNA_1	promoter	58035	69466	86298
FP000444_TMEM50A_1	promoter	56778	65249	79290
FP029541_RPL10_1	promoter	54864	60648	72857
